Company,Exchange,Symbol,Industry,Date Added,Notes
3M,NYSE,MMM,Conglomerate,1976-08-09,as Minnesota Mining and Manufacturing
American Express,NYSE,AXP,Financial services,1982-08-30,
Apple,NASDAQ,AAPL,Information technologies,2015-03-19,
Boeing,NYSE,BA,Aerospace and defense,1987-03-12,
Caterpillar,NYSE,CAT,Construction and mining equipment,1991-05-06,
Chevron,NYSE,CVX,Oil & gas,2008-02-19,also 1930-07-18 to 1999-11-01
Cisco Systems,NASDAQ,CSCO,Information technologies,2009-06-08,
Coca-Cola,NYSE,KO,Food,1987-03-12,also 1932-05-26 to 1935-11-20
DowDuPont,NYSE,DWDP,Chemical industry,2017-09-01,"Essentially, as continuation of E.I. du Pont de Nemours & Company's appearance since 1935-11-20, but officially a new company due to its merger with Dow Chemical Company on the same day.[6]"
ExxonMobil,NYSE,XOM,Oil & gas,1928-10-01,as Standard Oil of New Jersey
Goldman Sachs,NYSE,GS,Financial services,2013-09-20,
The Home Depot,NYSE,HD,Retail,1999-11-01,
IBM,NYSE,IBM,Information technologies,1979-06-29,also 1932-05-26 to 1939-03-04
Intel,NASDAQ,INTC,Information technologies,1999-11-01,
Johnson & Johnson,NYSE,JNJ,Pharmaceuticals,1997-03-17,
JPMorgan Chase,NYSE,JPM,Financial services,1991-05-06,
McDonald's,NYSE,MCD,Food,1985-10-30,
Merck & Company,NYSE,MRK,Pharmaceuticals,1979-06-29,
Microsoft,NASDAQ,MSFT,Information technologies,1999-11-01,
Nike,NYSE,NKE,Apparel,2013-09-20,
Pfizer,NYSE,PFE,Pharmaceuticals,2004-04-08,
Procter & Gamble,NYSE,PG,Consumer goods,1932-05-26,
Travelers,NYSE,TRV,Insurance,2009-06-08,
UnitedHealth Group,NYSE,UNH,Managed health care,2012-09-24,
United Technologies,NYSE,UTX,Conglomerate,1939-03-14,as United Aircraft
Verizon,NYSE,VZ,Telecommunication,2004-04-08,
Visa,NYSE,V,Financial services,2013-09-20,
Walmart,NYSE,WMT,Retail,1997-03-17,
Walgreens Boots Alliance,NASDAQ,WBA,Retail,2018-06-26,
Walt Disney,NYSE,DIS,Broadcasting and entertainment,1991-05-06,
